City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Castro,BR,75.07,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Kapaa,US,77.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Rikitea,PF,79.21,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Itarema,BR,83.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
10,Kismayo,SO,77.22,clear sky,-0.3582,42.5454,Agan-Hotel
11,Cidreira,BR,76.23,clear sky,-30.1811,-50.2056,Hotel Castelo
14,Vaini,TO,81.5,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
17,Lorengau,PG,80.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
18,Tres Lagoas,BR,85.21,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
19,Ariquemes,BR,85.39,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
22,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
26,Balabac,PH,80.2,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
28,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Karratha,AU,84.02,clear sky,-20.7377,116.8463,ibis Styles Karratha
32,Oussouye,SN,80.78,clear sky,12.485,-16.5469,Auberge du Routard
39,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
44,Conakry,GN,82.47,haze,9.538,-13.6773,Riviera Royal Hotel
45,Jeremie,HT,79.34,scattered clouds,18.65,-74.1167,Auberge’Inn
47,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
50,Hithadhoo,MV,81.46,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Sarangani,PH,81.46,overcast clouds,5.4033,125.4636,Ballistic Islet
60,Nicoya,CR,90.95,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
61,Hilo,US,76.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
69,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
75,Alta Floresta,BR,85.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
76,Le Vauclin,MQ,84.25,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
77,Kieta,PG,78.6,light rain,-6.2167,155.6333,Uruna Bay Retreat
89,Faanui,PF,81.18,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Pangoa,PE,82.44,light rain,-12.1167,-73.0,
94,Madimba,TZ,79.43,overcast clouds,-10.4,40.3333,
96,Coxcatlan,MX,76.48,overcast clouds,18.2667,-97.15,Hotel Rojo Canela
100,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
105,San Luis,AR,93.36,overcast clouds,-33.295,-66.3356,Huarpes Hotel
106,Butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
107,Chilca,PE,79.61,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
108,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
116,Amahai,ID,77.7,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
117,Kokopo,PG,77.94,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
119,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
122,Moron,AR,91.02,clear sky,-34.6534,-58.6198,Hotel Morón
123,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
126,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
133,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
135,Ippy,CF,82.26,clear sky,6.2679,21.2247,
136,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
137,Vao,NC,81.23,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
138,Jaru,BR,83.86,moderate rain,-10.4389,-62.4664,Hotel Paraná
140,Sinnamary,GF,78.85,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
141,Banes,CU,88.41,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
142,Buala,SB,78.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
150,Conceicao Do Araguaia,BR,82.78,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
152,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
153,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
157,Bac Lieu,VN,78.03,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
159,Belmonte,BR,84.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
162,Padang,ID,77.23,overcast clouds,-0.9492,100.3543,Mercure Padang
163,Dakar,SN,90.48,few clouds,14.6937,-17.4441,Novotel Dakar
164,Inirida,CO,91.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
165,Rio Grande,BR,82.51,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
171,Maribondo,BR,83.75,scattered clouds,-9.5772,-36.3053,Essencial Hostel
173,Nosy Varika,MG,76.03,light rain,-20.5833,48.5333,Hotel Volazara
178,Kloulklubed,PW,82.44,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
185,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
186,Pitanga,BR,79.74,broken clouds,-24.7572,-51.7614,Hotel Santa Carmem
187,Jacareacanga,BR,88.45,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
190,Lufilufi,WS,87.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
192,Mandiana,GN,81.12,clear sky,10.6333,-8.6833,Motels rouzo
193,Champerico,GT,91.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
195,Sabang,ID,81.57,overcast clouds,5.8933,95.3214,Hotel Citra
198,Lompoc,US,87.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
201,Matara,LK,75.02,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
211,Boa Vista,BR,93.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
212,Pouebo,NC,78.91,overcast clouds,-20.4,164.5667,RIVÂT LODGE
213,Santa Vitoria Do Palmar,BR,76.55,clear sky,-33.5189,-53.3681,Hostel Comodoro
217,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
219,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
220,Alyangula,AU,81.64,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
224,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
227,Isangel,VU,79.9,light rain,-19.55,169.2667,Tanna Lodge
229,Poum,NC,81.03,overcast clouds,-20.2333,164.0167,
237,Moa,CU,79.72,scattered clouds,20.6569,-74.9403,Carmen
247,Buritis,BR,75.2,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
249,Kahului,US,78.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
256,Morant Bay,JM,80.65,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
257,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
258,Terra Rica,BR,84.52,clear sky,-22.7094,-52.6169,Victor Hotel
259,Telimele,GN,79.3,clear sky,10.9167,-13.3333,
263,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
267,Iralaya,HN,81.88,clear sky,15.0,-83.2333,Iglesia morava renovada
273,Gamba,GA,77.32,light rain,-2.65,10.0,
274,Sonoita,MX,75.52,clear sky,31.85,-112.8333,Santa Ana
279,Noumea,NC,80.01,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
281,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
286,Vallenar,CL,82.17,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
294,Colon,PA,89.47,few clouds,9.3592,-79.9014,Sand Diamond Hotel
298,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
299,Wahiawa,US,77.32,clear sky,21.5028,-158.0236,Aloha Wahiawa
303,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
304,Canutama,BR,88.5,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
306,Camocim,BR,82.24,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
308,Hobyo,SO,75.87,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
312,Kavieng,PG,80.6,light rain,-2.5744,150.7967,Nusa Island Retreat
314,Siavonga,ZM,75.69,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
315,Villa Carlos Paz,AR,87.24,clear sky,-31.4241,-64.4978,Monte Carlo vcp
317,Elmina,GH,80.33,clear sky,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
319,Wewak,PG,78.24,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
329,Sao Filipe,CV,78.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
333,Sakaraha,MG,76.53,few clouds,-22.9,44.5333,Le Relais
335,Tacuarembo,UY,92.19,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
337,Sabya,SA,78.42,clear sky,17.1495,42.6254,Aseel Hotel Apartment
339,Mana,GF,80.26,broken clouds,5.6592,-53.7767,LE SAMANA
343,Chuy,UY,76.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
344,Harper,LR,79.43,clear sky,4.375,-7.7169,Screensaver
348,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
349,Nkan,GA,77.79,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
350,Dingle,PH,75.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
354,Necochea,AR,83.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
357,Campos Novos,BR,76.6,broken clouds,-27.4017,-51.225,Hotel Corujão - Campos Novos
359,Mopipi,BW,81.48,overcast clouds,-21.1833,24.8833,
371,Biak,ID,75.92,broken clouds,-0.9131,122.8766,Penginapan Kim
372,Omboue,GA,78.03,light rain,-1.5746,9.2618,Hotel Olako
375,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Neiafu,TO,81.84,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
389,Tomatlan,MX,87.35,clear sky,19.9333,-105.25,El Salvial
398,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
403,Kirakira,SB,78.96,overcast clouds,-10.4544,161.9205,SanBiz Lodge
409,Pilar,BR,84.13,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
411,Buin,CL,79.05,overcast clouds,-33.7333,-70.75,Paihuen
417,Mabaruma,GY,80.29,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
428,Humberto De Campos,BR,78.19,moderate rain,-2.5983,-43.4611,Pousada do Cabeça
432,San Rafael,AR,88.34,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
433,Seabra,BR,79.52,scattered clouds,-12.4186,-41.7703,Cambuí Hotel
438,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
439,Honiara,SB,78.15,moderate rain,-9.4333,159.95,Heritage Park Hotel
440,Mogadishu,SO,76.96,clear sky,2.0371,45.3438,Hotel Juba
441,Esmeraldas,BR,80.71,heavy intensity rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
442,Sola,VU,82.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
443,Santa Maria Do Suacui,BR,77.47,broken clouds,-18.1903,-42.4142,Hotel Vale Verde
445,Fortuna Foothills,US,81.7,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
446,Shimoni,KE,79.03,overcast clouds,-4.6476,39.3817,Shimoni Reef Lodge
448,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
450,Borba,BR,76.86,heavy intensity rain,-4.3878,-59.5939,Hotel da Amazônia
451,Bubaque,GW,79.43,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
453,Yasothon,TH,75.2,scattered clouds,15.75,104.1333,Ban Suan Varaphan
454,Bakel,SN,83.1,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
457,Pacific Grove,US,79.61,clear sky,36.6177,-121.9166,Lovers Point Inn
463,Fortuna,US,80.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
465,Labrea,BR,78.93,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
469,Carauari,BR,81.48,overcast clouds,-4.8828,-66.8958,Hotel Fellip
473,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
474,Cairns,AU,75.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
485,Paita,PE,82.96,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
489,Mlonggo,ID,76.89,overcast clouds,-6.5333,110.7,Asia Metal Art
490,Antalaha,MG,75.0,light rain,-14.9003,50.2788,Hotel Vitasoa
491,Trairi,BR,82.49,overcast clouds,-3.2778,-39.2689,janelas do mar
503,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
507,Srandakan,ID,77.18,very heavy rain,-7.9386,110.2506,Puri Brata
508,Rocha,UY,75.87,clear sky,-34.4833,-54.3333,Hotel Arrarte
510,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
513,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
514,San Ramon,US,76.55,clear sky,37.7799,-121.978,San Ramon Marriott
518,Tete,MZ,82.49,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
520,Tabou,CI,79.45,clear sky,4.423,-7.3528,hotêl doufoulougou
524,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
527,Paracuru,BR,84.22,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
534,Sumenep,ID,76.01,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
542,Koutiala,ML,83.48,clear sky,12.3917,-5.4642,Hotel La Chaumiere
547,Ouegoa,NC,80.4,overcast clouds,-20.35,164.4333,
549,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
551,Barra Dos Coqueiros,BR,86.02,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
554,Sambava,MG,75.56,light rain,-14.2667,50.1667,Melrose
559,Caxito,AO,83.05,broken clouds,-8.5785,13.6643,
563,Kisangani,CD,78.53,overcast clouds,0.5167,25.2,Grand Ramela Hotel
565,Puerto Quijarro,BO,92.84,overcast clouds,-17.7833,-57.7667,Hotel palance
567,Doka,SD,81.1,clear sky,13.5167,35.7667,
569,Cururupu,BR,78.4,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
575,Alappuzha,IN,76.1,overcast clouds,9.49,76.3264,Panoramic Sea Resort
584,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
586,Manaul,PH,76.35,overcast clouds,12.453,121.4107,Falogme Bamboo House near at Buktot Beach
588,Rio Cuarto,AR,91.17,clear sky,-33.1307,-64.3499,Hotel Menossi
589,Touba,CI,79.75,few clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
591,Port-Gentil,GA,81.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
592,San Fernando,PH,79.14,broken clouds,15.0286,120.6898,Maharlika Hostel
593,Inongo,CD,78.48,overcast clouds,-1.95,18.2667,Hotel Du Lac
597,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Kost Pria
609,Pauini,BR,85.78,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
610,Altagracia De Orituco,VE,84.4,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
611,Bibiani,GH,80.58,broken clouds,6.4635,-2.3194,Rodick Hotel
613,Gemena,CD,78.46,few clouds,3.25,19.7667,Hôtel Goshen
617,Wajir,KE,85.01,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
619,Manggar,ID,77.29,overcast clouds,-2.8833,108.2667,Guest Hotel
620,Iquique,CL,75.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
623,Tecoanapa,MX,82.9,overcast clouds,16.5167,-98.75,Hotel Manglares
627,Waingapu,ID,76.68,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
629,Lekoni,GA,82.83,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
631,Auki,SB,78.19,moderate rain,-8.7676,160.7034,Auki Motel
633,Lazaro Cardenas,MX,81.81,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
634,Bambanglipuro,ID,77.0,heavy intensity rain,-7.95,110.2833,Puri Brata
637,Soc Trang,VN,75.16,overcast clouds,9.6033,105.98,Phu Quy Hotel
638,Santa Cruz,BO,93.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
641,Rodrigues Alves,BR,86.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
646,Xuddur,SO,75.06,clear sky,4.1213,43.8894,Banjanay Hotel
648,Lambarene,GA,76.87,light rain,-0.7001,10.2406,Le Refuge
650,Kavaratti,IN,79.03,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
660,Angoche,MZ,78.35,overcast clouds,-16.2325,39.9086,Guest House HESADA
662,Santo Antonio Do Ica,BR,81.25,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
669,Soubre,CI,79.9,scattered clouds,5.7856,-6.6083,Lynd Hotels Soubre
673,Eureka,US,81.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
675,Sotouboua,TG,80.98,clear sky,8.5667,0.9833,Auberge Médina
677,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
678,Laguna,US,76.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
683,Malpe,IN,76.3,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
684,Merauke,ID,77.88,overcast clouds,-8.4667,140.3333,
688,Leo,BF,78.22,clear sky,11.1,-2.1,Hotel Sissilis
689,Malindi,KE,77.45,overcast clouds,-3.2175,40.1191,African House Resort
690,San Joaquin,US,76.15,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
694,Piacabucu,BR,81.5,clear sky,-10.4056,-36.4344,Piaçabuçu News
